IndividualSize,4,
Frames,10,
Interval,1,

Individuals,200,
Elites,1,
MutantRate,5,
HighScore,2.151049,
Generation,160,

2,1,1,1,1,1,2,0,0,2,1,2,2,0,2,0,0,1,0,1,0,0,0,2,1,1,2,2,2,0,1,0,0,2,1,2,1,2,0,2,0,1,0,1,0,1,2,2,2,2,0,2,0,1,2,1,2,0,0,2,0,2,2,2,0,2,1,0,2,0,
2,1,1,1,1,1,2,0,0,2,1,2,2,0,2,0,0,0,0,1,0,0,0,2,1,1,2,0,2,0,1,0,1,2,2,2,1,2,0,2,0,0,0,1,0,1,0,1,2,2,0,2,1,1,2,1,2,0,0,2,0,2,2,2,0,2,1,0,2,0,
2,1,1,1,1,1,2,0,0,2,1,2,2,0,2,0,0,1,0,1,0,0,0,2,1,1,2,2,2,0,1,0,0,2,1,2,1,2,0,2,0,1,0,1,0,1,2,1,2,2,0,2,0,1,2,1,2,0,0,2,0,2,2,2,0,2,1,0,2,0,
1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,2,0,0,1,0,0,0,1,1,2,1,2,0,1,0,1,1,2,1,1,1,1,1,2,1,1,2,2,1,1,0,1,2,1,1,1,1,2,1,1,2,1,0,1,1,2,1,1,2,0,1,0,1,1,
1,1,1,1,0,1,0,2,1,2,1,2,1,1,0,1,2,2,2,0,1,1,1,0,1,2,1,1,1,0,2,2,2,0,2,1,1,0,2,1,0,0,0,2,0,1,2,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,2,0,1,1,2,
0,1,1,1,2,1,2,0,0,2,1,2,2,2,2,0,0,0,0,1,0,0,0,2,1,1,2,2,1,0,1,0,0,2,2,2,1,2,0,2,0,0,0,1,0,1,2,1,0,2,0,2,0,1,2,1,2,0,0,2,0,2,2,2,0,2,1,0,2,0,
2,1,1,1,1,1,2,0,0,2,1,2,2,0,2,0,0,1,0,1,0,0,0,2,1,1,2,2,1,0,1,0,1,2,2,2,1,2,0,2,0,1,0,1,0,1,2,1,2,2,0,2,1,1,2,1,2,0,0,2,0,2,2,2,0,2,1,0,2,0,
2,1,1,1,1,1,2,0,0,2,1,2,2,0,2,0,0,0,0,1,0,0,0,2,1,1,2,2,2,0,1,0,1,2,2,2,1,2,0,2,0,1,0,1,0,1,2,2,2,2,0,2,0,1,2,1,2,0,0,2,0,2,1,2,0,2,1,1,2,0,
2,1,1,1,1,1,2,0,0,2,1,2,2,0,2,0,0,0,0,1,0,0,0,2,1,1,2,2,1,0,1,0,0,2,2,2,1,2,0,2,0,1,0,1,0,1,2,1,0,2,0,2,1,1,2,1,2,0,0,2,0,2,2,2,0,2,1,1,2,0,
2,1,1,1,1,1,2,0,0,2,1,2,2,0,2,0,0,0,0,1,0,0,0,2,1,1,2,0,1,0,1,0,0,2,2,2,1,2,0,2,0,0,0,1,0,1,2,1,2,2,0,2,1,1,2,1,2,0,0,2,0,2,1,2,0,2,1,1,2,0,
2,1,1,1,1,1,2,0,0,2,1,2,2,0,2,0,0,0,0,1,0,0,0,2,1,1,2,2,1,0,1,0,0,2,2,2,1,2,0,2,0,1,0,1,0,1,0,2,2,2,0,2,1,1,2,1,2,0,0,2,0,2,2,2,0,2,1,0,2,0,
2,1,1,1,1,1,2,0,0,2,1,1,2,2,1,0,0,0,0,1,0,0,0,2,1,1,2,2,1,0,1,0,1,2,2,2,1,2,0,2,0,1,0,1,0,1,2,1,0,2,0,2,1,1,2,1,2,0,0,2,0,2,2,2,0,2,1,1,2,0,
2,1,1,1,1,1,2,0,0,2,1,2,2,0,2,0,0,0,0,1,0,0,0,2,1,1,2,0,2,0,1,0,1,2,2,2,1,2,0,2,0,0,0,1,0,1,0,2,2,2,0,2,1,1,2,1,2,0,0,2,0,2,1,2,0,2,1,1,2,0,
2,1,1,1,1,1,2,0,0,2,1,2,2,0,2,0,0,1,0,1,0,0,0,2,1,1,2,2,2,0,1,0,0,2,2,2,1,2,0,2,0,1,0,1,0,1,2,1,0,2,0,2,1,1,2,1,2,0,0,2,0,2,2,2,0,2,1,1,2,0,
2,1,1,1,1,1,2,0,0,2,1,2,2,0,2,0,0,0,0,1,0,0,0,2,1,1,2,2,2,1,1,0,1,2,2,2,1,2,0,2,0,0,0,1,0,1,0,2,2,2,0,2,1,1,2,1,2,0,0,2,0,2,2,2,0,2,1,1,2,0,
2,1,1,1,1,1,2,0,0,2,1,2,2,0,2,0,0,0,0,1,0,0,0,2,1,1,2,0,2,0,1,0,1,2,2,2,1,2,0,2,0,0,0,1,0,1,2,2,2,2,0,2,1,1,2,1,2,0,0,2,0,2,2,2,0,2,1,0,2,0,
2,1,1,1,1,1,2,0,0,2,1,2,2,0,2,0,0,0,0,1,0,0,0,2,1,1,2,2,2,0,1,0,0,2,2,2,1,2,0,2,0,1,0,1,0,1,0,2,0,2,0,2,1,1,2,1,2,0,0,2,0,2,2,2,0,2,1,0,2,0,
